track_id,track_name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,liked
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],2,1,False,0.5720000000000001,0.835,0,-6.218999999999999,1,0.0317,0.171,0.000376,0.0702,0.7959999999999999,129.994,241600,4.0,1984,1984-01-04,1
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],3,1,False,0.527,0.978,8,-5.436,1,0.109,0.00124,4.75e-05,0.0744,0.4629999999999999,141.16899999999995,210227,4.0,1984,1984-01-04,1
1Z7DlH9AeV59TyD0LQTvNi,Cautious,Peach Club,5QJllrmYgOY5k5qWegblAX,['Emarosa'],['68tKVjVvcqUfKFFLr2j0Ek'],3,1,False,0.535,0.91,10,-4.26,1,0.0511,0.0139999999999999,1e-06,0.0698,0.528,89.985,195133,4.0,2019,2019-02-08,0
2PXeCxg47XlG3Vj4FXBPLU,So Bad,Peach Club,5QJllrmYgOY5k5qWegblAX,['Emarosa'],['68tKVjVvcqUfKFFLr2j0Ek'],5,1,False,0.731,0.872,9,-4.166,1,0.0403,0.00709,0.0,0.0315,0.7509999999999999,129.98,209853,4.0,2019,2019-02-08,0
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,Highway to Hell,10v912xgTZbjAtYfyKWJCS,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1,1,False,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4.0,1979,1979-07-27,1
3vwBYoGucbkHtlDHzXqfLG,Come Together,Kitsch Funk,5aFCLQhcz58nfwlPqO0bek,"['Scary Pockets', 'Mario Jose']","['1e16kiJQtCTveTl7TQnkFN', '7jnbFTMmtEZPT4ywFrvaMa']",6,1,False,0.898,0.3829999999999999,9,-5.2570000000000014,0,0.0472,0.0848,0.0,0.0938,0.923,101.219,163000,4.0,2018,2018-03-02,0
3NeiYiBn3rQBgurfVk92Zm,Humility (feat. George Benson),The Now Now,1amYhlukNF8WdaQC3gKkgL,"['Gorillaz', 'George Benson']","['3AA28KZvwAUcZuOKwyblJQ', '4N8BwYTEC6XqykGvXXlmfv']",1,1,False,0.632,0.807,0,-5.893,1,0.126,0.144,0.0211,0.125,0.784,160.174,197933,4.0,2018,2018-06-29,0
1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,Imagination & the Misfit Kid,0FSsRH1jeZqKbGcHwq3UO0,['Labrinth'],['2feDdbD5araYcm6JhFHHw7'],13,1,True,0.494,0.428,0,-7.239,0,0.203,0.233,0.0752,0.0816,0.441,87.723,157497,4.0,2019,2019-11-22,0
1pXgBjIvALm97lDhroan2E,Times Like These - Acoustic Version,00020225,69GTpu2TQvWQNOjhIVyzRL,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],7,1,False,0.588,0.5589999999999999,4,-4.849,0,0.0272,0.128,0.0,0.0977,0.278,123.845,238587,4.0,2019,2019-10-18,1
4sNG6zQBmtq7M8aeeKJRMQ,Brazil,What Do You Think About the Car?,3HJiLDJgWA9Z0MvCxlzHYQ,['Declan McKenna'],['2D4FOOOtWycb3Aw9nY5n3c'],2,1,False,0.687,0.617,4,-5.212999999999999,1,0.0287,0.0941,1.32e-05,0.0898,0.665,121.08,252307,4.0,2017,2017-07-21,0
